profile,injection_number,gold_class,proposal_key,cohort_keys,neo4j_same_key_count,neo4j_neighbor_count,neo4j_inbound_deps,lab_classes,lab_findings_n,coarse_agreement,log_async_detected
Full,14,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,15,semantic_contradiction,research.p3.sem.15.analytics_db,research.p3.sem.15.warehouse;research.p3.sem.15.analytics_db,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,16,temporal_invalidation,research.p3.tmpov.16,research.p3.tmpov.16;research.p3.tmpov.16,5,0,0,temporal_invalidation,1,match,True
Full,17,constraint_violation,research.p3.ph2.team_fact.17,research.p3.ph2.team_fact.17;research.p3.ph2.team_cap.17,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,18,dependency_impact,stack.docs_api,stack.docs_api,17,0,4,dependency_impact;temporal_invalidation,5,match,True
Full,19,semantic_contradiction,research.p3.sem.19.workflow,research.p3.sem.19.orchestrator;research.p3.sem.19.workflow,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,20,temporal_invalidation,research.p3.tmpov.20,research.p3.tmpov.20;research.p3.tmpov.20,5,0,0,temporal_invalidation,5,match,True
Full,21,constraint_violation,research.p3.ph2.team_fact.21,research.p3.ph2.team_fact.21;research.p3.ph2.team_cap.21,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,22,dependency_impact,stack.schedule_sla,stack.schedule_sla,22,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,23,semantic_contradiction,research.p3.sem.23.events,research.p3.sem.23.queue;research.p3.sem.23.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,24,temporal_invalidation,research.p3.tmpov.24,research.p3.tmpov.24;research.p3.tmpov.24,7,0,0,temporal_invalidation,1,match,True
Full,25,constraint_violation,research.p3.ph2.team_fact.25,research.p3.ph2.team_fact.25;research.p3.ph2.team_cap.25,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,26,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,27,semantic_contradiction,research.p3.sem.27.identity,research.p3.sem.27.authn;research.p3.sem.27.identity,3,1,0,temporal_invalidation,3,partial,True
Full,28,temporal_invalidation,research.p3.tmpov.28,research.p3.tmpov.28;research.p3.tmpov.28,5,0,0,temporal_invalidation,5,match,True
Full,29,constraint_violation,research.p3.ph2.team_fact.29,research.p3.ph2.team_fact.29;research.p3.ph2.team_cap.29,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,30,dependency_impact,stack.db,stack.db,17,0,5,dependency_impact;temporal_invalidation,4,match,True
Full,31,semantic_contradiction,research.p3.sem.31.persistence,research.p3.sem.31.datastore;research.p3.sem.31.persistence,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,32,temporal_invalidation,research.p3.tmpov.32,research.p3.tmpov.32;research.p3.tmpov.32,5,0,0,temporal_invalidation,5,match,True
Full,33,constraint_violation,research.p3.ph2.team_fact.33,research.p3.ph2.team_fact.33;research.p3.ph2.team_cap.33,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,34,dependency_impact,stack.ingest_stream,stack.ingest_stream,14,0,7,dependency_impact;temporal_invalidation,5,match,True
Full,35,semantic_contradiction,research.p3.sem.35.analytics_db,research.p3.sem.35.warehouse;research.p3.sem.35.analytics_db,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,36,temporal_invalidation,research.p3.tmpov.36,research.p3.tmpov.36;research.p3.tmpov.36,5,0,0,temporal_invalidation,1,match,True
Full,37,constraint_violation,research.p3.ph2.team_fact.37,research.p3.ph2.team_fact.37;research.p3.ph2.team_cap.37,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,38,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,39,semantic_contradiction,research.p3.sem.39.workflow,research.p3.sem.39.orchestrator;research.p3.sem.39.workflow,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,40,temporal_invalidation,research.p3.tmpov.40,research.p3.tmpov.40;research.p3.tmpov.40,5,0,0,temporal_invalidation,1,match,True
Full,41,constraint_violation,research.p3.ph2.team_fact.41,research.p3.ph2.team_fact.41;research.p3.ph2.team_cap.41,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,42,dependency_impact,stack.waf,stack.waf,17,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,43,semantic_contradiction,research.p3.sem.43.events,research.p3.sem.43.queue;research.p3.sem.43.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,44,temporal_invalidation,research.p3.tmpov.44,research.p3.tmpov.44;research.p3.tmpov.44,5,0,0,temporal_invalidation,5,match,True
Full,45,constraint_violation,research.p3.ph2.team_fact.45,research.p3.ph2.team_fact.45;research.p3.ph2.team_cap.45,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,46,dependency_impact,stack.ingest_batch,stack.ingest_batch,23,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,47,semantic_contradiction,research.p3.sem.47.identity,research.p3.sem.47.authn;research.p3.sem.47.identity,3,1,0,temporal_invalidation,3,partial,True
Full,48,temporal_invalidation,research.p3.tmpov.48,research.p3.tmpov.48;research.p3.tmpov.48,5,0,0,temporal_invalidation,5,match,True
Full,49,constraint_violation,research.p3.ph2.team_fact.49,research.p3.ph2.team_fact.49;research.p3.ph2.team_cap.49,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,50,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,51,semantic_contradiction,research.p3.sem.51.persistence,research.p3.sem.51.datastore;research.p3.sem.51.persistence,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,52,temporal_invalidation,research.p3.tmpov.52,research.p3.tmpov.52;research.p3.tmpov.52,5,0,0,temporal_invalidation,5,match,True
Full,53,constraint_violation,research.p3.ph2.team_fact.53,research.p3.ph2.team_fact.53;research.p3.ph2.team_cap.53,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,54,dependency_impact,stack.tls,stack.tls,11,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,55,semantic_contradiction,research.p3.sem.55.analytics_db,research.p3.sem.55.warehouse;research.p3.sem.55.analytics_db,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,56,temporal_invalidation,research.p3.tmpov.56,research.p3.tmpov.56;research.p3.tmpov.56,5,0,0,temporal_invalidation,5,match,True
Full,57,constraint_violation,research.p3.ph2.team_fact.57,research.p3.ph2.team_fact.57;research.p3.ph2.team_cap.57,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,58,dependency_impact,stack.schedule_sla,stack.schedule_sla,22,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,59,semantic_contradiction,research.p3.sem.59.workflow,research.p3.sem.59.orchestrator;research.p3.sem.59.workflow,3,1,0,semantic_contradiction;temporal_invalidation,4,match,True
Full,60,temporal_invalidation,research.p3.tmpov.60,research.p3.tmpov.60;research.p3.tmpov.60,5,0,0,temporal_invalidation,1,match,True
Full,61,constraint_violation,research.p3.ph2.team_fact.61,research.p3.ph2.team_fact.61;research.p3.ph2.team_cap.61,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,62,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,63,semantic_contradiction,research.p3.sem.63.events,research.p3.sem.63.queue;research.p3.sem.63.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,64,temporal_invalidation,research.p3.tmpov.64,research.p3.tmpov.64;research.p3.tmpov.64,5,0,0,temporal_invalidation,5,match,True
Full,65,constraint_violation,research.p3.ph2.team_fact.65,research.p3.ph2.team_fact.65;research.p3.ph2.team_cap.65,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,66,dependency_impact,stack.runtime,stack.runtime,20,0,1,dependency_impact;temporal_invalidation,6,match,True
Full,67,semantic_contradiction,research.p3.sem.67.identity,research.p3.sem.67.authn;research.p3.sem.67.identity,2,1,0,temporal_invalidation,2,partial,True
Full,68,temporal_invalidation,research.p3.tmpov.68,research.p3.tmpov.68;research.p3.tmpov.68,5,0,0,temporal_invalidation,5,match,True
Full,69,constraint_violation,research.p3.ph2.team_fact.69,research.p3.ph2.team_fact.69;research.p3.ph2.team_cap.69,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,70,dependency_impact,stack.ingest_stream,stack.ingest_stream,14,0,7,dependency_impact;temporal_invalidation,5,match,True
Full,71,semantic_contradiction,research.p3.sem.71.persistence,research.p3.sem.71.datastore;research.p3.sem.71.persistence,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,72,temporal_invalidation,research.p3.tmpov.72,research.p3.tmpov.72;research.p3.tmpov.72,5,0,0,temporal_invalidation,1,match,True
Full,73,constraint_violation,research.p3.ph2.team_fact.73,research.p3.ph2.team_fact.73;research.p3.ph2.team_cap.73,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,74,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,75,semantic_contradiction,research.p3.sem.75.analytics_db,research.p3.sem.75.warehouse;research.p3.sem.75.analytics_db,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,76,temporal_invalidation,research.p3.tmpov.76,research.p3.tmpov.76;research.p3.tmpov.76,5,0,0,temporal_invalidation,5,match,True
Full,77,constraint_violation,research.p3.ph2.team_fact.77,research.p3.ph2.team_fact.77;research.p3.ph2.team_cap.77,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,78,dependency_impact,stack.docs_api,stack.docs_api,17,0,4,dependency_impact;temporal_invalidation,5,match,True
Full,79,semantic_contradiction,research.p3.sem.79.workflow,research.p3.sem.79.orchestrator;research.p3.sem.79.workflow,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,80,temporal_invalidation,research.p3.tmpov.80,research.p3.tmpov.80;research.p3.tmpov.80,5,0,0,temporal_invalidation,5,match,True
Full,81,constraint_violation,research.p3.ph2.team_fact.81,research.p3.ph2.team_fact.81;research.p3.ph2.team_cap.81,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,82,dependency_impact,stack.ingest_batch,stack.ingest_batch,23,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,83,semantic_contradiction,research.p3.sem.83.events,research.p3.sem.83.queue;research.p3.sem.83.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,84,temporal_invalidation,research.p3.tmpov.84,research.p3.tmpov.84;research.p3.tmpov.84,5,0,0,temporal_invalidation,5,match,True
Full,85,constraint_violation,research.p3.ph2.team_fact.85,research.p3.ph2.team_fact.85;research.p3.ph2.team_cap.85,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,86,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,87,semantic_contradiction,research.p3.sem.87.identity,research.p3.sem.87.authn;research.p3.sem.87.identity,2,1,0,temporal_invalidation,2,partial,True
Full,88,temporal_invalidation,research.p3.tmpov.88,research.p3.tmpov.88;research.p3.tmpov.88,5,0,0,temporal_invalidation,5,match,True
Full,89,constraint_violation,research.p3.ph2.team_fact.89,research.p3.ph2.team_fact.89;research.p3.ph2.team_cap.89,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,90,dependency_impact,stack.db,stack.db,17,0,5,dependency_impact;temporal_invalidation,4,match,True
Full,91,semantic_contradiction,research.p3.sem.91.persistence,research.p3.sem.91.datastore;research.p3.sem.91.persistence,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,92,temporal_invalidation,research.p3.tmpov.92,research.p3.tmpov.92;research.p3.tmpov.92,5,0,0,temporal_invalidation,5,match,True
Full,93,constraint_violation,research.p3.ph2.team_fact.93,research.p3.ph2.team_fact.93;research.p3.ph2.team_cap.93,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,94,dependency_impact,stack.schedule_sla,stack.schedule_sla,22,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,95,semantic_contradiction,research.p3.sem.95.analytics_db,research.p3.sem.95.warehouse;research.p3.sem.95.analytics_db,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,96,temporal_invalidation,research.p3.tmpov.96,research.p3.tmpov.96;research.p3.tmpov.96,5,0,0,temporal_invalidation,5,match,True
Full,97,constraint_violation,research.p3.ph2.team_fact.97,research.p3.ph2.team_fact.97;research.p3.ph2.team_cap.97,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,98,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,99,semantic_contradiction,research.p3.sem.99.workflow,research.p3.sem.99.orchestrator;research.p3.sem.99.workflow,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,100,temporal_invalidation,research.p3.tmpov.100,research.p3.tmpov.100;research.p3.tmpov.100,5,0,0,temporal_invalidation,1,match,True
Full,101,constraint_violation,research.p3.ph2.team_fact.101,research.p3.ph2.team_fact.101;research.p3.ph2.team_cap.101,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,102,dependency_impact,stack.waf,stack.waf,17,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,103,semantic_contradiction,research.p3.sem.103.events,research.p3.sem.103.queue;research.p3.sem.103.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,104,temporal_invalidation,research.p3.tmpov.104,research.p3.tmpov.104;research.p3.tmpov.104,5,0,0,temporal_invalidation,5,match,True
Full,105,constraint_violation,research.p3.ph2.team_fact.105,research.p3.ph2.team_fact.105;research.p3.ph2.team_cap.105,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,106,dependency_impact,stack.ingest_stream,stack.ingest_stream,14,0,7,dependency_impact;temporal_invalidation,5,match,True
Full,107,semantic_contradiction,research.p3.sem.107.identity,research.p3.sem.107.authn;research.p3.sem.107.identity,2,1,0,temporal_invalidation,2,partial,True
Full,108,temporal_invalidation,research.p3.tmpov.108,research.p3.tmpov.108;research.p3.tmpov.108,5,0,0,temporal_invalidation,5,match,True
Full,109,constraint_violation,research.p3.ph2.team_fact.109,research.p3.ph2.team_fact.109;research.p3.ph2.team_cap.109,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,110,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,111,semantic_contradiction,research.p3.sem.111.persistence,research.p3.sem.111.datastore;research.p3.sem.111.persistence,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,112,temporal_invalidation,research.p3.tmpov.112,research.p3.tmpov.112;research.p3.tmpov.112,5,0,0,temporal_invalidation,5,match,True
Full,113,constraint_violation,research.p3.ph2.team_fact.113,research.p3.ph2.team_fact.113;research.p3.ph2.team_cap.113,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,114,dependency_impact,stack.tls,stack.tls,11,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,115,semantic_contradiction,research.p3.sem.115.analytics_db,research.p3.sem.115.warehouse;research.p3.sem.115.analytics_db,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,116,temporal_invalidation,research.p3.tmpov.116,research.p3.tmpov.116;research.p3.tmpov.116,5,0,0,temporal_invalidation,5,match,True
Full,117,constraint_violation,research.p3.ph2.team_fact.117,research.p3.ph2.team_fact.117;research.p3.ph2.team_cap.117,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,118,dependency_impact,stack.ingest_batch,stack.ingest_batch,23,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,119,semantic_contradiction,research.p3.sem.119.workflow,research.p3.sem.119.orchestrator;research.p3.sem.119.workflow,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,120,temporal_invalidation,research.p3.tmpov.120,research.p3.tmpov.120;research.p3.tmpov.120,5,0,0,temporal_invalidation,1,match,True
Full,121,constraint_violation,research.p3.ph2.team_fact.121,research.p3.ph2.team_fact.121;research.p3.ph2.team_cap.121,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,122,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,123,semantic_contradiction,research.p3.sem.123.events,research.p3.sem.123.queue;research.p3.sem.123.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,124,temporal_invalidation,research.p3.tmpov.124,research.p3.tmpov.124;research.p3.tmpov.124,5,0,0,temporal_invalidation,1,match,True
Full,125,constraint_violation,research.p3.ph2.team_fact.125,research.p3.ph2.team_fact.125;research.p3.ph2.team_cap.125,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,126,dependency_impact,stack.runtime,stack.runtime,20,0,1,dependency_impact;temporal_invalidation,6,match,True
Full,127,semantic_contradiction,research.p3.sem.127.identity,research.p3.sem.127.authn;research.p3.sem.127.identity,2,1,0,temporal_invalidation,2,partial,True
Full,128,temporal_invalidation,research.p3.tmpov.128,research.p3.tmpov.128;research.p3.tmpov.128,5,0,0,temporal_invalidation,5,match,True
Full,129,constraint_violation,research.p3.ph2.team_fact.129,research.p3.ph2.team_fact.129;research.p3.ph2.team_cap.129,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,130,dependency_impact,stack.schedule_sla,stack.schedule_sla,22,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,131,semantic_contradiction,research.p3.sem.131.persistence,research.p3.sem.131.datastore;research.p3.sem.131.persistence,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,132,temporal_invalidation,research.p3.tmpov.132,research.p3.tmpov.132;research.p3.tmpov.132,5,0,0,temporal_invalidation,5,match,True
Full,133,constraint_violation,research.p3.ph2.team_fact.133,research.p3.ph2.team_fact.133;research.p3.ph2.team_cap.133,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,134,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,135,semantic_contradiction,research.p3.sem.135.analytics_db,research.p3.sem.135.warehouse;research.p3.sem.135.analytics_db,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,136,temporal_invalidation,research.p3.tmpov.136,research.p3.tmpov.136;research.p3.tmpov.136,5,0,0,temporal_invalidation,5,match,True
Full,137,constraint_violation,research.p3.ph2.team_fact.137,research.p3.ph2.team_fact.137;research.p3.ph2.team_cap.137,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,138,dependency_impact,stack.docs_api,stack.docs_api,17,0,4,dependency_impact;temporal_invalidation,5,match,True
Full,139,semantic_contradiction,research.p3.sem.139.workflow,research.p3.sem.139.orchestrator;research.p3.sem.139.workflow,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,140,temporal_invalidation,research.p3.tmpov.140,research.p3.tmpov.140;research.p3.tmpov.140,5,0,0,temporal_invalidation,1,match,True
Full,141,constraint_violation,research.p3.ph2.team_fact.141,research.p3.ph2.team_fact.141;research.p3.ph2.team_cap.141,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,142,dependency_impact,stack.ingest_stream,stack.ingest_stream,14,0,7,dependency_impact;temporal_invalidation,5,match,True
Full,143,semantic_contradiction,research.p3.sem.143.events,research.p3.sem.143.queue;research.p3.sem.143.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,144,temporal_invalidation,research.p3.tmpov.144,research.p3.tmpov.144;research.p3.tmpov.144,5,0,0,temporal_invalidation,5,match,True
Full,145,constraint_violation,research.p3.ph2.team_fact.145,research.p3.ph2.team_fact.145;research.p3.ph2.team_cap.145,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,146,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,147,semantic_contradiction,research.p3.sem.147.identity,research.p3.sem.147.authn;research.p3.sem.147.identity,2,1,0,temporal_invalidation,2,partial,True
Full,148,temporal_invalidation,research.p3.tmpov.148,research.p3.tmpov.148;research.p3.tmpov.148,5,0,0,temporal_invalidation,5,match,True
Full,149,constraint_violation,research.p3.ph2.team_fact.149,research.p3.ph2.team_fact.149;research.p3.ph2.team_cap.149,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,150,dependency_impact,stack.db,stack.db,17,0,5,dependency_impact;temporal_invalidation,4,match,True
Full,151,semantic_contradiction,research.p3.sem.151.persistence,research.p3.sem.151.datastore;research.p3.sem.151.persistence,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,152,temporal_invalidation,research.p3.tmpov.152,research.p3.tmpov.152;research.p3.tmpov.152,5,0,0,temporal_invalidation,1,match,True
Full,153,constraint_violation,research.p3.ph2.team_fact.153,research.p3.ph2.team_fact.153;research.p3.ph2.team_cap.153,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,154,dependency_impact,stack.ingest_batch,stack.ingest_batch,23,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,155,semantic_contradiction,research.p3.sem.155.analytics_db,research.p3.sem.155.warehouse;research.p3.sem.155.analytics_db,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,156,temporal_invalidation,research.p3.tmpov.156,research.p3.tmpov.156;research.p3.tmpov.156,5,0,0,temporal_invalidation,5,match,True
Full,157,constraint_violation,research.p3.ph2.team_fact.157,research.p3.ph2.team_fact.157;research.p3.ph2.team_cap.157,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,158,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,159,semantic_contradiction,research.p3.sem.159.workflow,research.p3.sem.159.orchestrator;research.p3.sem.159.workflow,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,160,temporal_invalidation,research.p3.tmpov.160,research.p3.tmpov.160;research.p3.tmpov.160,5,0,0,temporal_invalidation,5,match,True
Full,161,constraint_violation,research.p3.ph2.team_fact.161,research.p3.ph2.team_fact.161;research.p3.ph2.team_cap.161,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,162,dependency_impact,stack.waf,stack.waf,17,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,163,semantic_contradiction,research.p3.sem.163.events,research.p3.sem.163.queue;research.p3.sem.163.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,164,temporal_invalidation,research.p3.tmpov.164,research.p3.tmpov.164;research.p3.tmpov.164,5,0,0,temporal_invalidation,5,match,True
Full,165,constraint_violation,research.p3.ph2.team_fact.165,research.p3.ph2.team_fact.165;research.p3.ph2.team_cap.165,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,166,dependency_impact,stack.schedule_sla,stack.schedule_sla,22,0,3,dependency_impact;temporal_invalidation,5,match,True
Full,167,semantic_contradiction,research.p3.sem.167.identity,research.p3.sem.167.authn;research.p3.sem.167.identity,2,1,0,temporal_invalidation,2,partial,True
Full,168,temporal_invalidation,research.p3.tmpov.168,research.p3.tmpov.168;research.p3.tmpov.168,5,0,0,temporal_invalidation,5,match,True
Full,169,constraint_violation,research.p3.ph2.team_fact.169,research.p3.ph2.team_fact.169;research.p3.ph2.team_cap.169,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,170,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,171,semantic_contradiction,research.p3.sem.171.persistence,research.p3.sem.171.datastore;research.p3.sem.171.persistence,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,172,temporal_invalidation,research.p3.tmpov.172,research.p3.tmpov.172;research.p3.tmpov.172,5,0,0,temporal_invalidation,5,match,True
Full,173,constraint_violation,research.p3.ph2.team_fact.173,research.p3.ph2.team_fact.173;research.p3.ph2.team_cap.173,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,174,dependency_impact,stack.tls,stack.tls,11,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,175,semantic_contradiction,research.p3.sem.175.analytics_db,research.p3.sem.175.warehouse;research.p3.sem.175.analytics_db,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,176,temporal_invalidation,research.p3.tmpov.176,research.p3.tmpov.176;research.p3.tmpov.176,5,0,0,temporal_invalidation,5,match,True
Full,177,constraint_violation,research.p3.ph2.team_fact.177,research.p3.ph2.team_fact.177;research.p3.ph2.team_cap.177,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,178,dependency_impact,stack.ingest_stream,stack.ingest_stream,14,0,7,dependency_impact;temporal_invalidation,5,match,True
Full,179,semantic_contradiction,research.p3.sem.179.workflow,research.p3.sem.179.orchestrator;research.p3.sem.179.workflow,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,180,temporal_invalidation,research.p3.tmpov.180,research.p3.tmpov.180;research.p3.tmpov.180,5,0,0,temporal_invalidation,5,match,True
Full,181,constraint_violation,research.p3.ph2.team_fact.181,research.p3.ph2.team_fact.181;research.p3.ph2.team_cap.181,2,0,0,constraint_violation;temporal_invalidation,3,match,True
Full,182,dependency_impact,stack.secrets,stack.secrets,47,0,2,dependency_impact;temporal_invalidation,5,match,True
Full,183,semantic_contradiction,research.p3.sem.183.events,research.p3.sem.183.queue;research.p3.sem.183.events,2,1,0,semantic_contradiction;temporal_invalidation,3,match,True
Full,184,temporal_invalidation,research.p3.tmpov.184,research.p3.tmpov.184;research.p3.tmpov.184,5,0,0,temporal_invalidation,5,match,True
